id,key,status,retry_count,created_at,published_at,publication_record_lag_ms
2047,event-1,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.155444,2354.4650
2048,event-2,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.157356,2356.3770
2049,event-3,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.158535,2357.5560
2050,event-4,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.159591,2358.6120
2051,event-5,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.160574,2359.5950
2052,event-6,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.161390,2360.4110
2053,event-7,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.162151,2361.1720
2054,event-8,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.162849,2361.8700
2055,event-9,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.164246,2363.2670
2056,event-10,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.165309,2364.3300
2057,event-11,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.166172,2365.1930
2058,event-12,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.167082,2366.1030
2059,event-13,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.168067,2367.0880
2060,event-14,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.168912,2367.9330
2061,event-15,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.169821,2368.8420
2062,event-16,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.170671,2369.6920
2063,event-17,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.171292,2370.3130
2064,event-18,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.172334,2371.3550
2065,event-19,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.173465,2372.4860
2066,event-20,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.174613,2373.6340
2067,event-21,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.175476,2374.4970
2068,event-22,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.176308,2375.3290
2069,event-23,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.178127,2377.1480
2070,event-24,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.179092,2378.1130
2071,event-25,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.181085,2380.1060
2072,event-26,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.182039,2381.0600
2073,event-27,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.182870,2381.8910
2074,event-28,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.184443,2383.4640
2075,event-29,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.185316,2384.3370
2076,event-30,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.185998,2385.0190
2077,event-31,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.186731,2385.7520
2078,event-32,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.187644,2386.6650
2079,event-33,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.189812,2388.8330
2080,event-34,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.190957,2389.9780
2081,event-35,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.191821,2390.8420
2082,event-36,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.192659,2391.6800
2083,event-37,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.193491,2392.5120
2084,event-38,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.194171,2393.1920
2085,event-39,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.194834,2393.8550
2086,event-40,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.195639,2394.6600
2087,event-41,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.196842,2395.8630
2088,event-42,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.198466,2397.4870
2089,event-43,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.199332,2398.3530
2090,event-44,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.200229,2399.2500
2091,event-45,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.201211,2400.2320
2092,event-46,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.201991,2401.0120
2093,event-47,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.202776,2401.7970
2094,event-48,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.203590,2402.6110
2095,event-49,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.204329,2403.3500
2096,event-50,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.205158,2404.1790
2097,event-51,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.206071,2405.0920
2098,event-52,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.206935,2405.9560
2099,event-53,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.209145,2408.1660
2100,event-54,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.211781,2410.8020
2101,event-55,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.212729,2411.7500
2102,event-56,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.213830,2412.8510
2103,event-57,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.214666,2413.6870
2104,event-58,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.215324,2414.3450
2105,event-59,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.215865,2414.8860
2106,event-60,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.216421,2415.4420
2107,event-61,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.216947,2415.9680
2108,event-62,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.217454,2416.4750
2109,event-63,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.218119,2417.1400
2110,event-64,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.218935,2417.9560
2111,event-65,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.219729,2418.7500
2112,event-66,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.220586,2419.6070
2113,event-67,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.221270,2420.2910
2114,event-68,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.221928,2420.9490
2115,event-69,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.222879,2421.9000
2116,event-70,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.223654,2422.6750
2117,event-71,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.224621,2423.6420
2118,event-72,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.225435,2424.4560
2119,event-73,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.226134,2425.1550
2120,event-74,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.226786,2425.8070
2121,event-75,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.227454,2426.4750
2122,event-76,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.228160,2427.1810
2123,event-77,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.228741,2427.7620
2124,event-78,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.229336,2428.3570
2125,event-79,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.230131,2429.1520
2126,event-80,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.231077,2430.0980
2127,event-81,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.231824,2430.8450
2128,event-82,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.232519,2431.5400
2129,event-83,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.233060,2432.0810
2130,event-84,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.233636,2432.6570
2131,event-85,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.234210,2433.2310
2132,event-86,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.235001,2434.0220
2133,event-87,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.235804,2434.8250
2134,event-88,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.236777,2435.7980
2135,event-89,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.237547,2436.5680
2136,event-90,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.238227,2437.2480
2137,event-91,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.240166,2439.1870
2138,event-92,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.241261,2440.2820
2139,event-93,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.242319,2441.3400
2140,event-94,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.242970,2441.9910
2141,event-95,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.243562,2442.5830
2142,event-96,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.244150,2443.1710
2143,event-97,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.244691,2443.7120
2144,event-98,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.245195,2444.2160
2145,event-99,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.245692,2444.7130
2146,event-100,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:54.246280,2445.3010
2147,event-101,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:57.369408,5568.4290
2148,event-102,PUBLISHED,0,2026-09-08 00:44:51.800979,2026-09-08 00:44:57.370852,5569.8730
