id,key,status,retry_count,created_at,published_at,publication_record_lag_ms
3070,event-1,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.931443,2147.5500
3071,event-2,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.933015,2149.1220
3072,event-3,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.934119,2150.2260
3073,event-4,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.935228,2151.3350
3074,event-5,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.936204,2152.3110
3075,event-6,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.937203,2153.3100
3076,event-7,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.938032,2154.1390
3077,event-8,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.940246,2156.3530
3078,event-9,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.941484,2157.5910
3079,event-10,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.942375,2158.4820
3080,event-11,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.943107,2159.2140
3081,event-12,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.943776,2159.8830
3082,event-13,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.944464,2160.5710
3083,event-14,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.945017,2161.1240
3084,event-15,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.945513,2161.6200
3085,event-16,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.946188,2162.2950
3086,event-17,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.947229,2163.3360
3087,event-18,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.948089,2164.1960
3088,event-19,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.948816,2164.9230
3089,event-20,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.949387,2165.4940
3090,event-21,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.949921,2166.0280
3091,event-22,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.950585,2166.6920
3092,event-23,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.951400,2167.5070
3093,event-24,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.952179,2168.2860
3094,event-25,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.952886,2168.9930
3095,event-26,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.954731,2170.8380
3096,event-27,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.955776,2171.8830
3097,event-28,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.956517,2172.6240
3098,event-29,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.957500,2173.6070
3099,event-30,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.958230,2174.3370
3100,event-31,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.958888,2174.9950
3101,event-32,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.959584,2175.6910
3102,event-33,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.960840,2176.9470
3103,event-34,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.962099,2178.2060
3104,event-35,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.963534,2179.6410
3105,event-36,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.964652,2180.7590
3106,event-37,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.965472,2181.5790
3107,event-38,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.966276,2182.3830
3108,event-39,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.966876,2182.9830
3109,event-40,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.967635,2183.7420
3110,event-41,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.968392,2184.4990
3111,event-42,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.970324,2186.4310
3112,event-43,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.972631,2188.7380
3113,event-44,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.974533,2190.6400
3114,event-45,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.975916,2192.0230
3115,event-46,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.976909,2193.0160
3116,event-47,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.980455,2196.5620
3117,event-48,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.985198,2201.3050
3118,event-49,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.986970,2203.0770
3119,event-50,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.988356,2204.4630
3120,event-51,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.991326,2207.4330
3121,event-52,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.992922,2209.0290
3122,event-53,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.994743,2210.8500
3123,event-54,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.995931,2212.0380
3124,event-55,PUBLISHED,0,2026-09-08 00:45:24.783893,2026-09-08 00:45:26.999014,2215.1210
