id,key,status,retry_count,created_at,published_at,publication_record_lag_ms
1081,event-58,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.490545,1825.3150
1082,event-59,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.492561,1827.3310
1083,event-60,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.494477,1829.2470
1084,event-61,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.498109,1832.8790
1085,event-62,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.500735,1835.5050
1086,event-63,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.502390,1837.1600
1087,event-64,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.503901,1838.6710
1088,event-65,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.506668,1841.4380
1089,event-66,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.508586,1843.3560
1090,event-67,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.510133,1844.9030
1091,event-68,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.511575,1846.3450
1092,event-69,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.512777,1847.5470
1093,event-70,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.514559,1849.3290
1094,event-71,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.516451,1851.2210
1095,event-72,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.519092,1853.8620
1096,event-73,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.520734,1855.5040
1097,event-74,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.522579,1857.3490
1098,event-75,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.525172,1859.9420
1099,event-76,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.551343,1886.1130
1100,event-77,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.560072,1894.8420
1101,event-78,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.562321,1897.0910
1102,event-79,PUBLISHED,0,2026-09-08 00:44:18.665230,2026-09-08 00:44:20.565655,1900.4250
